,time,signals,value
227,1621155135986,RAW,77
228,1621155135988,RAW,45
229,1621155136001,RAW,38
230,1621155136001,RAW,36
231,1621155136001,RAW,40
232,1621155136002,RAW,45
233,1621155136002,RAW,25
234,1621155136003,RAW,3
235,1621155136002,RAW,-2
236,1621155136003,RAW,10
237,1621155136002,RAW,5
238,1621155136000,RAW,36
239,1621155136002,RAW,-2
240,1621155136001,RAW,50
241,1621155136003,RAW,24
242,1621155136027,RAW,34
243,1621155136028,RAW,17
244,1621155136028,RAW,27
245,1621155136029,RAW,43
246,1621155136029,RAW,34
247,1621155136029,RAW,41
248,1621155136028,RAW,22
249,1621155136027,RAW,39
250,1621155136028,RAW,17
251,1621155136027,RAW,38
252,1621155136027,RAW,23
253,1621155136029,RAW,34
254,1621155136064,RAW,38
255,1621155136064,RAW,54
256,1621155136066,RAW,41
257,1621155136067,RAW,32
258,1621155136067,RAW,12
259,1621155136067,RAW,34
260,1621155136067,RAW,41
261,1621155136068,RAW,4
262,1621155136067,RAW,45
263,1621155136066,RAW,60
264,1621155136066,RAW,56
265,1621155136067,RAW,28
266,1621155136068,RAW,2
267,1621155136094,RAW,27
268,1621155136094,RAW,43
269,1621155136094,RAW,40
270,1621155136095,RAW,12
271,1621155136095,RAW,13
272,1621155136094,RAW,33
273,1621155136095,RAW,3
274,1621155136095,RAW,-8
275,1621155136095,RAW,22
276,1621155136102,RAW,51
277,1621155136102,RAW,25
278,1621155136102,RAW,21
279,1621155136102,RAW,65
280,1621155136103,RAW,-14
281,1621155136096,RAW,32
282,1621155136095,RAW,-4
283,1621155136104,RAW,-12
284,1621155136094,RAW,10
285,1621155136103,RAW,-10
286,1621155136101,RAW,43
287,1621155136102,RAW,60
288,1621155136103,RAW,6
289,1621155136103,RAW,20
290,1621155136103,RAW,22
291,1621155136119,RAW,-10
292,1621155136119,RAW,1
293,1621155136120,RAW,11
294,1621155136120,RAW,16
295,1621155136120,RAW,49
296,1621155136121,RAW,50
297,1621155136121,RAW,24
298,1621155136121,RAW,44
299,1621155136120,RAW,6
300,1621155136120,RAW,9
301,1621155136120,RAW,28
302,1621155136120,RAW,40
303,1621155136121,RAW,10
304,1621155136138,RAW,40
305,1621155136138,RAW,53
306,1621155136139,RAW,32
307,1621155136139,RAW,0
308,1621155136139,RAW,1
309,1621155136139,RAW,34
310,1621155136139,RAW,16
311,1621155136139,RAW,53
312,1621155136138,RAW,18
313,1621155136139,RAW,45
314,1621155136138,RAW,45
315,1621155136139,RAW,13
316,1621155136174,RAW,53
317,1621155136175,RAW,44
318,1621155136175,RAW,70
319,1621155136176,RAW,66
320,1621155136176,RAW,72
321,1621155136175,RAW,60
322,1621155136176,RAW,75
323,1621155136176,RAW,75
324,1621155136175,RAW,53
325,1621155136175,RAW,48
326,1621155136175,RAW,39
327,1621155136176,RAW,72
328,1621155136175,RAW,67
329,1621155136193,RAW,48
330,1621155136193,RAW,60
331,1621155136193,RAW,50
332,1621155136201,DELTA,4574
333,1621155136201,LOALPHA,5229
334,1621155136201,HIBETA,3500
335,1621155136201,MIDGAMMA,1939
336,1621155136203,ATTENTION,41
337,1621155136203,MEDITATION,69
338,1621155136204,APPRECIATION,1
339,1621155136206,MENTAL_EFFORT,0
340,1621155136201,LOGAMMA,2321
341,1621155136206,FAMILIARITY,0
342,1621155136201,LOBETA,2900
343,1621155136201,THETA,18008
344,1621155136201,HIALPHA,7167
345,1621155136207,RAW,66
346,1621155136403,PITCH,2
347,1621155136403,ROLL,113
348,1621155136403,YAW,188
349,1621155136408,RAW,44
350,1621155136408,RAW,39
351,1621155136408,RAW,42
352,1621155136408,RAW,44
353,1621155136409,RAW,43
354,1621155136409,RAW,39
355,1621155136408,RAW,38
356,1621155136407,RAW,57
357,1621155136413,RAW,37
358,1621155136414,RAW,39
359,1621155136418,RAW,43
360,1621155136418,RAW,48
361,1621155136419,RAW,50
362,1621155136420,RAW,50
363,1621155136421,RAW,52
364,1621155136421,RAW,58
365,1621155136418,RAW,27
366,1621155136422,RAW,56
367,1621155136423,RAW,43
368,1621155136423,RAW,34
369,1621155136423,RAW,38
370,1621155136423,RAW,50
371,1621155136423,RAW,55
372,1621155136414,RAW,42
373,1621155136417,RAW,29
374,1621155136426,RAW,-1
375,1621155136427,RAW,-3
376,1621155136427,RAW,-2
377,1621155136409,RAW,34
378,1621155136429,RAW,7
379,1621155136430,RAW,7
380,1621155136430,RAW,13
381,1621155136432,RAW,33
382,1621155136429,RAW,2
383,1621155136429,RAW,-4
384,1621155136418,RAW,36
385,1621155136435,RAW,34
386,1621155136436,RAW,16
387,1621155136434,RAW,41
388,1621155136435,RAW,18
389,1621155136438,RAW,25
390,1621155136447,RAW,37
391,1621155136438,RAW,24
392,1621155136426,RAW,13
393,1621155136437,RAW,24
394,1621155136426,RAW,38
395,1621155136441,RAW,37
396,1621155136441,RAW,26
397,1621155136441,RAW,10
398,1621155136441,RAW,35
399,1621155136440,RAW,13
400,1621155136443,RAW,52
401,1621155136441,RAW,19
402,1621155136443,RAW,21
403,1621155136443,RAW,39
404,1621155136440,RAW,23
405,1621155136447,RAW,38
406,1621155136440,RAW,19
407,1621155136443,RAW,43
408,1621155136438,RAW,29
409,1621155136430,RAW,5
410,1621155136432,RAW,20
411,1621155136445,RAW,16
412,1621155136445,RAW,28
413,1621155136447,RAW,40
414,1621155136454,RAW,52
415,1621155136455,RAW,43
416,1621155136451,RAW,49
417,1621155136462,RAW,-5
418,1621155136462,RAW,6
419,1621155136453,RAW,42
420,1621155136462,RAW,-1
421,1621155136452,RAW,27
422,1621155136459,RAW,53
423,1621155136453,RAW,57
424,1621155136450,RAW,52
425,1621155136453,RAW,58
426,1621155136453,RAW,65
427,1621155136459,RAW,59
428,1621155136460,RAW,41
429,1621155136457,RAW,52
430,1621155136454,RAW,44
431,1621155136451,RAW,35
432,1621155136461,RAW,51
433,1621155136461,RAW,52
434,1621155136461,RAW,40
435,1621155136461,RAW,33
436,1621155136447,RAW,28
437,1621155136458,RAW,58
438,1621155136452,RAW,23
439,1621155136461,RAW,32
440,1621155136461,RAW,38
441,1621155136458,RAW,52
442,1621155136456,RAW,52
443,1621155136460,RAW,49
444,1621155136461,RAW,29
445,1621155136477,RAW,29
446,1621155136477,RAW,10
447,1621155136476,RAW,4
448,1621155136534,RAW,52
449,1621155136534,RAW,56
