,DELTA,LOALPHA,HIBETA,MIDGAMMA,ATTENTION,MEDITATION,APPRECIATION,MENTAL_EFFORT,LOGAMMA,FAMILIARITY,LOBETA,THETA,HIALPHA,time
75,3317,2740,2382,810,78,77,2,0,624,0,2474,5714,2948,1621155240835
76,38852,2752,3372,1085,78,77,2,0,1371,0,5509,6468,3542,1621155241813
77,5940,1368,2441,944,69,61,2,0,2633,0,2332,13642,1788,1621155242844
78,38426,440,2250,967,70,29,2,0,1591,0,2887,8543,647,1621155244813
79,18428,2133,2084,1070,56,23,2,0,1177,0,3163,34838,5880,1621155245843
80,25905,651,5641,800,57,10,2,0,2259,0,4817,32299,1715,1621155246837
81,37781,3203,4476,495,47,23,2,0,1485,0,4788,25889,4103,1621155248791
82,15068,5000,2243,1296,54,38,2,0,1303,0,2875,7994,6908,1621155249782
83,22460,2338,3016,468,57,57,2,0,1666,0,2199,8531,2126,1621155250811
84,16032,9838,1438,1277,54,74,2,0,953,0,2178,4863,1368,1621155251787
85,4443,776,2709,1521,77,63,2,0,794,0,1493,4505,1878,1621155253778
86,4159,3802,4587,1002,83,67,2,0,1223,0,3380,3649,2210,1621155254788
87,3952,850,2530,521,94,56,2,0,1971,0,925,4457,2479,1621155255780
88,606,1064,1997,1290,94,60,2,0,4267,0,3584,2700,1976,1621155256775
89,37089,8549,3161,1444,88,74,2,0,1724,0,2929,4517,2988,1621155257769
90,10950,1115,1880,1008,70,77,2,0,796,0,1203,4350,3676,1621155259794
91,5201,2530,1645,1558,60,94,2,0,3886,0,2632,3110,9022,1621155260769
92,5891,3677,2435,729,61,88,2,0,1433,0,1843,4584,2244,1621155261763
93,4414,1523,3650,2354,80,77,2,0,2646,0,2471,2695,1086,1621155263768
94,1677,1497,2793,1182,90,63,2,0,2354,0,1319,4127,2977,1621155264761
95,17821,3890,3516,1298,81,50,2,0,811,0,5192,26657,3259,1621155265739
96,6385,1626,3550,684,78,56,2,0,1461,0,1275,3873,5372,1621155267744
97,5092,1603,3967,953,83,48,2,0,1408,0,2515,4973,980,1621155268737
98,61822,10461,4078,1738,81,66,2,0,3605,0,8639,20124,21116,1621155269738
99,31541,3614,4103,1086,70,70,2,0,1828,0,2090,9031,3471,1621155271735
100,2276,1102,3335,994,69,81,2,0,1146,0,1173,3200,3291,1621155272713
101,30029,726,2876,639,77,67,2,0,712,0,4460,12924,4573,1621155273708
102,3648,724,3135,1689,93,69,2,0,1633,0,1179,3178,1478,1621155275693
103,5405,3488,2047,733,87,75,2,0,3432,0,3318,2320,3381,1621155276687
104,18617,13381,6840,763,90,84,2,0,1513,0,6823,11391,3030,1621155277717
105,10042,5349,3330,1190,88,87,2,0,3752,0,1161,3229,796,1621155279688
106,1988,1089,3829,2029,94,84,2,0,1808,0,1869,2610,5483,1621155280685
107,2701,2792,4786,848,97,74,2,0,897,0,3153,7910,1604,1621155281694
108,3185,12732,2426,1333,67,70,2,0,2828,0,4636,8508,7980,1621155283680
109,8575,3816,2930,2218,60,66,2,0,1574,0,3039,9730,3651,1621155284693
110,9474,3904,4954,2125,60,78,2,0,921,0,3704,3352,5636,1621155285686
111,280856,74647,10630,5483,38,43,2,0,11971,0,6003,359386,9689,1621155287660
112,22412,796,2001,2179,34,34,2,0,2801,0,5905,15598,3502,1621155288675
113,16356,6190,4369,815,21,20,2,0,874,0,5233,31017,3532,1621155289663
114,30568,22407,2922,1136,38,78,2,0,1942,0,4697,23916,12480,1621155292661
115,834,1033,2178,1801,41,90,2,0,4519,0,3146,6168,7219,1621155293638
116,23219,2154,2799,2501,66,53,2,0,2239,0,4500,18458,5654,1621155296641
117,10214,2045,3034,1918,64,48,2,0,1842,0,3049,13874,8035,1621155297631
118,27973,1980,2513,608,60,66,2,0,2157,0,1582,11983,3591,1621155299618
119,3402,1694,4381,892,70,60,2,0,1097,0,3931,8288,1797,1621155300631
120,2522,7450,1755,1262,66,61,2,0,1893,0,1568,14690,3331,1621155301625
121,8330,7426,1742,1353,43,44,2,0,1209,0,2911,6849,1506,1621155303613
122,19849,3905,3529,507,38,51,2,0,1867,0,1538,8418,1015,1621155304625
123,16017,169,3649,2308,50,29,2,0,2498,0,6589,13722,1656,1621155305618
124,2313,5262,3983,544,66,51,2,0,3118,0,1461,20298,4936,1621155307625
125,6607,501,3168,2418,67,53,2,0,1889,0,1853,6470,4181,1621155308619
126,13142,1868,2021,1055,63,69,2,0,3938,0,2362,9526,3106,1621155309594
127,5693,4186,1834,1138,63,64,2,0,4226,0,4990,8570,4490,1621155311598
128,41308,5970,3331,1001,51,69,2,0,3241,0,1396,20776,9635,1621155312580
129,6126,7452,5540,3744,57,78,2,0,1079,0,3112,7124,3872,1621155313585
130,12490,3165,3459,545,60,67,2,0,3302,0,5347,14284,2926,1621155314581
131,32436,5137,2824,1555,50,69,2,0,1925,0,2898,37414,24196,1621155315561
132,11658,2006,2050,1072,51,57,2,0,1425,0,4405,15583,2093,1621155316586
133,17407,7164,2764,1045,21,60,2,0,1099,0,1725,38288,5348,1621155318555
134,16561,7693,3724,737,40,63,2,0,2274,0,3066,3295,2467,1621155319549
135,77465,1854,3938,1408,40,64,2,0,1991,0,6262,24567,6355,1621155320542
136,19691,8328,2621,1002,48,48,1,0,4265,0,2517,24787,1575,1621155322536
137,2995,9119,3178,2576,44,51,2,0,2155,0,6376,1876,5141,1621155323542
138,21939,17530,2087,3209,37,64,2,0,1267,0,9642,18374,10560,1621155324538
139,5950,6,1630,1150,53,51,2,0,3053,0,2725,10041,390,1621155326524
140,9353,6261,2254,1132,40,38,2,0,2815,0,942,36960,4690,1621155327538
141,6559,1178,3019,1245,48,17,2,0,1402,0,987,20819,1282,1621155328531
142,11726,4765,1739,2158,43,61,2,0,2626,0,1259,14707,9248,1621155330509
143,6336,768,1903,2600,66,57,2,0,2597,0,2536,2195,605,1621155331513
144,604699,32255,9548,2608,60,74,2,0,12821,0,3123,92601,10249,1621155332523
145,2710,2416,3471,1861,57,70,2,0,3934,0,1995,7619,5886,1621155335504
146,16070,3252,3951,3461,69,66,2,0,3965,0,3526,13578,2303,1621155336482
147,2824,3676,3896,4418,70,48,2,0,3545,0,6412,8683,2175,1621155338487
148,22469,4102,3181,1102,74,44,2,0,5412,0,3076,5889,1776,1621155339481
149,6988,4140,1720,2064,61,54,2,0,4517,0,3007,14773,8589,1621155340492
150,2281,564,2312,1900,70,84,2,0,1739,0,1964,4102,3965,1621155342462
151,11036,3908,4508,2393,70,84,2,0,1344,0,8047,6504,5498,1621155343456
152,6586,1127,3660,1714,88,66,2,0,3255,0,5087,8185,711,1621155344506
153,1918,2468,1952,801,77,56,2,0,3736,0,3585,10724,2034,1621155346456
154,2691,7890,1933,1621,69,67,2,0,3549,0,1631,3399,4184,1621155347451
155,3469,1259,3922,1568,70,80,2,0,3087,0,1579,5256,2349,1621155348481
156,9454,4747,4045,2118,83,97,2,0,4372,0,1895,7322,3723,1621155350448
157,2031,1138,2964,2426,88,88,2,0,2463,0,5791,5721,7180,1621155351429
158,2606,937,5259,2637,88,87,2,0,3342,0,3019,7712,4224,1621155352456
159,120707,23403,46137,13284,70,80,0,0,43046,0,34404,233113,89322,1621155354423
160,37656,2509,5559,5664,78,80,1,0,4533,0,2083,6461,4815,1621155355435
161,20600,2720,5241,13816,81,77,1,0,9921,0,4002,4477,6214,1621155357429
162,58232,2699,4281,5711,83,70,1,0,13480,0,2340,23287,3559,1621155358405
163,180205,9094,8770,6970,78,64,1,0,12587,0,11554,25436,3053,1621155359413
164,41284,4449,2986,1106,74,74,1,0,5399,0,1203,6089,6321,1621155360407
165,54263,8891,3042,5683,63,80,1,0,4082,0,1898,8177,5278,1621155362394
166,28663,7722,6215,6732,63,91,1,0,8333,0,3692,9002,10699,1621155363387
167,14483,1940,4261,6266,69,81,1,0,8363,0,2578,7892,2977,1621155364399
168,4323,1994,6893,6005,83,74,2,0,6784,0,11988,8911,857,1621155365394
169,2243,721,7001,9587,97,57,2,0,9899,0,4028,5984,3217,1621155366406
170,14718,2351,10539,4118,100,43,2,0,6730,0,3148,3622,1255,1621155368411
171,9761,5205,5525,4093,100,60,2,0,17859,0,1142,7906,3800,1621155369405
172,10948,2198,11220,13200,96,63,2,0,6235,0,1498,10878,4888,1621155370381
173,11423,3177,6726,15954,90,74,2,0,10831,0,4514,6084,5659,1621155372406
174,1955,9400,4695,5116,84,75,2,0,15176,0,3158,12492,4858,1621155373381
175,7666,4394,6244,4698,81,75,2,0,6178,0,8764,6306,2692,1621155374376
176,10685,7671,4589,7873,77,74,2,0,13042,0,2446,9003,3278,1621155376363
177,7405,7766,8472,5970,88,69,2,0,13239,0,4195,3845,2465,1621155377356
178,15422,754,16569,8378,97,60,2,0,5311,0,2616,3228,1780,1621155378348
179,3925,11331,4949,5164,90,70,2,0,8277,0,1553,3225,2594,1621155380338
180,2967,12665,3706,12342,74,74,2,0,7969,0,4308,14037,937,1621155381331
181,280148,6328,7859,9405,50,81,2,0,10819,0,7710,36513,8494,1621155382344
182,24795,7229,10441,3888,35,63,2,0,13337,0,6781,60934,12836,1621155384330
