,ROLL,PITCH,YAW
385,113,-4,187
386,112,-3,178
387,113,-3,180
388,113,-3,185
389,112,-3,179
390,113,-3,180
391,111,-3,176
392,113,-3,184
393,112,-3,185
394,111,-3,181
395,111,-3,176
396,111,-3,185
397,112,-3,186
398,111,-2,180
399,112,-2,183
400,112,-2,177
401,111,-3,181
402,110,-3,177
403,111,-3,173
404,113,-3,183
405,111,-3,180
406,112,-2,182
407,110,-3,177
408,112,-3,178
409,112,-3,183
410,112,-3,177
411,111,-3,180
412,111,-3,184
413,112,-2,184
414,113,-3,183
415,112,-2,182
416,112,-3,180
417,111,-3,182
418,115,-2,189
419,120,-2,200
420,119,-2,200
421,114,-2,191
422,113,-2,186
423,113,-3,184
424,112,-2,184
425,112,-2,188
426,113,-2,188
427,114,-2,190
428,112,-2,190
429,112,-2,187
430,112,-3,182
431,113,-3,182
432,114,-3,183
433,113,-3,180
434,114,-3,188
435,116,-3,195
436,119,-3,201
437,120,-3,201
438,117,-3,195
439,114,-3,186
440,115,-3,192
441,113,-3,187
442,114,-3,188
443,114,-2,187
444,116,-2,195
445,114,-3,185
446,114,-3,187
447,114,-3,187
448,114,-2,183
449,114,-3,183
450,114,-3,182
451,113,-3,182
452,114,-2,182
453,113,-2,185
454,113,-3,184
455,113,-1,185
456,114,-2,182
457,114,-1,186
458,114,0,188
459,114,0,185
460,117,0,194
461,121,-1,203
462,117,0,197
463,112,0,181
464,113,0,187
465,113,0,182
466,111,0,179
467,113,1,191
468,112,2,186
469,112,2,185
470,111,2,178
471,110,1,172
472,113,0,183
473,118,0,203
474,118,0,201
475,113,0,182
476,111,0,172
477,112,0,176
478,111,0,171
479,111,0,176
480,112,0,176
481,111,0,171
482,111,1,169
483,111,1,177
484,113,0,179
485,112,0,174
486,111,0,167
487,112,0,171
488,110,0,172
489,111,0,172
490,111,0,175
491,111,2,172
492,110,3,164
493,111,3,178
494,112,2,182
495,111,1,169
496,113,1,184
497,112,1,173
498,112,1,179
499,114,1,191
500,118,0,202
501,118,1,197
502,117,0,187
503,114,1,173
504,112,0,170
505,112,0,163
506,111,1,160
507,112,3,173
508,113,1,170
509,113,0,179
510,111,0,171
511,112,0,181
512,113,-1,187
513,111,-1,181
514,112,-2,185
515,113,-1,187
516,110,-1,173
517,111,-2,180
518,112,-3,180
519,112,-3,183
520,118,-2,194
521,120,-2,205
522,116,-1,190
523,114,-2,187
524,113,-2,183
525,113,-2,178
526,112,-2,185
527,116,-2,197
528,119,-3,203
529,118,-2,198
530,118,-2,197
531,118,-2,194
532,115,-2,187
533,111,-3,177
534,112,-3,183
535,113,-4,187
536,114,-4,187
537,113,-3,191
538,118,-3,199
539,116,-3,189
540,113,-4,181
541,112,-3,184
542,116,-3,192
543,117,-2,195
544,117,-3,195
545,112,-3,175
546,111,-3,181
547,115,-2,192
548,116,-2,192
549,117,-2,197
550,119,-2,202
551,119,-1,206
552,117,-1,199
553,119,-2,197
554,119,-2,195
555,118,-1,199
556,119,-2,194
557,118,-1,195
558,119,-1,199
559,114,-4,185
560,111,-2,173
561,110,-2,175
562,115,-1,194
563,120,-1,205
564,119,-1,203
565,118,-1,199
566,119,-1,206
567,114,-1,188
568,112,-2,188
569,116,-1,200
570,118,0,203
571,118,-1,199
572,117,-1,197
573,118,-1,198
574,119,-1,195
575,119,-1,200
576,117,-1,196
577,113,-1,188
578,114,-1,188
579,113,-1,186
580,112,-2,183
581,112,-1,181
582,110,-1,179
583,111,-1,184
584,111,-1,185
585,112,-1,185
586,111,-1,180
587,112,-1,182
588,112,0,181
589,111,-1,187
590,111,-2,182
591,112,-1,189
592,111,0,184
593,111,-2,182
594,110,-2,181
595,112,-1,193
596,112,-1,184
597,112,-2,179
598,111,-2,173
599,116,-1,193
600,118,-1,201
601,117,-1,196
602,116,-1,190
603,116,-1,197
604,113,-1,195
605,110,0,179
606,113,0,186
607,119,-1,207
608,118,0,204
609,118,0,207
610,118,-1,204
611,117,0,209
612,117,0,207
613,117,-1,198
614,114,-1,187
615,109,-3,170
616,109,-1,172
617,109,0,170
618,108,-2,169
619,112,-1,183
620,115,-1,196
621,114,-1,190
622,110,-1,176
623,108,0,172
624,113,0,186
625,116,0,196
626,113,-2,181
627,110,0,178
628,112,0,178
629,112,0,190
630,111,-1,189
631,113,-1,192
632,118,-1,206
633,119,-1,211
634,112,-1,186
635,113,-2,189
636,116,-1,198
637,119,-1,207
638,119,-1,210
639,118,-1,209
640,119,-2,205
641,118,-2,204
642,112,-2,184
643,111,-1,195
644,117,-1,208
645,119,-1,207
646,118,-1,206
647,119,0,214
648,119,0,211
649,115,0,205
650,112,0,193
651,111,0,184
652,111,0,190
653,110,0,186
654,115,0,200
655,118,0,215
656,118,0,215
657,118,0,216
658,118,0,216
659,115,0,202
660,112,1,195
661,113,0,204
662,118,1,216
663,116,9,239
664,112,11,246
665,112,14,264
666,114,15,258
667,114,12,247
668,115,10,244
669,118,4,240
670,118,0,233
671,119,0,230
672,119,0,233
673,122,7,244
674,119,7,241
675,118,9,243
676,120,8,242
677,120,7,241
678,119,7,239
679,112,4,231
680,109,0,222
681,113,-3,224
682,118,-6,223
683,121,-15,212
684,127,-17,215
685,160,-11,240
686,152,-4,239
687,159,-5,233
688,174,-6,247
689,-178,9,254
690,-177,16,243
691,-176,17,211
692,-176,20,201
693,-175,19,199
