,time,signals,value
187,08:52:15.895000,RAW,11
188,08:52:15.896000,RAW,26
189,08:52:15.895000,RAW,23
190,08:52:15.894000,RAW,27
191,08:52:15.895000,RAW,10
192,08:52:15.950000,RAW,86
193,08:52:15.950000,RAW,84
194,08:52:15.950000,RAW,69
195,08:52:15.951000,RAW,42
196,08:52:15.951000,RAW,40
197,08:52:15.950000,RAW,60
198,08:52:15.954000,RAW,73
199,08:52:15.956000,RAW,72
200,08:52:15.956000,RAW,74
201,08:52:15.951000,RAW,50
202,08:52:15.949000,RAW,32
203,08:52:15.951000,RAW,64
204,08:52:15.951000,RAW,53
205,08:52:15.969000,RAW,82
206,08:52:15.969000,RAW,88
207,08:52:15.970000,RAW,89
208,08:52:15.970000,RAW,81
209,08:52:15.970000,RAW,66
210,08:52:15.970000,RAW,89
211,08:52:15.973000,RAW,73
212,08:52:15.974000,RAW,74
213,08:52:15.974000,RAW,66
214,08:52:15.969000,RAW,73
215,08:52:15.974000,RAW,68
216,08:52:15.973000,RAW,65
217,08:52:15.987000,RAW,74
218,08:52:15.987000,RAW,59
219,08:52:15.987000,RAW,53
220,08:52:15.987000,RAW,54
221,08:52:15.988000,RAW,53
222,08:52:15.988000,RAW,51
223,08:52:15.989000,RAW,70
224,08:52:15.989000,RAW,50
225,08:52:15.989000,RAW,38
226,08:52:15.989000,RAW,67
227,08:52:15.986000,RAW,77
228,08:52:15.988000,RAW,45
229,08:52:16.001000,RAW,38
230,08:52:16.001000,RAW,36
231,08:52:16.001000,RAW,40
232,08:52:16.002000,RAW,45
233,08:52:16.002000,RAW,25
234,08:52:16.003000,RAW,3
235,08:52:16.002000,RAW,-2
236,08:52:16.003000,RAW,10
237,08:52:16.002000,RAW,5
238,08:52:16,RAW,36
239,08:52:16.002000,RAW,-2
240,08:52:16.001000,RAW,50
241,08:52:16.003000,RAW,24
242,08:52:16.027000,RAW,34
243,08:52:16.028000,RAW,17
244,08:52:16.028000,RAW,27
245,08:52:16.029000,RAW,43
246,08:52:16.029000,RAW,34
247,08:52:16.029000,RAW,41
248,08:52:16.028000,RAW,22
249,08:52:16.027000,RAW,39
250,08:52:16.028000,RAW,17
251,08:52:16.027000,RAW,38
252,08:52:16.027000,RAW,23
253,08:52:16.029000,RAW,34
254,08:52:16.064000,RAW,38
255,08:52:16.064000,RAW,54
256,08:52:16.066000,RAW,41
257,08:52:16.067000,RAW,32
258,08:52:16.067000,RAW,12
259,08:52:16.067000,RAW,34
260,08:52:16.067000,RAW,41
261,08:52:16.068000,RAW,4
262,08:52:16.067000,RAW,45
263,08:52:16.066000,RAW,60
264,08:52:16.066000,RAW,56
265,08:52:16.067000,RAW,28
266,08:52:16.068000,RAW,2
267,08:52:16.094000,RAW,27
268,08:52:16.094000,RAW,43
269,08:52:16.094000,RAW,40
270,08:52:16.095000,RAW,12
271,08:52:16.095000,RAW,13
272,08:52:16.094000,RAW,33
273,08:52:16.095000,RAW,3
274,08:52:16.095000,RAW,-8
275,08:52:16.095000,RAW,22
276,08:52:16.102000,RAW,51
277,08:52:16.102000,RAW,25
278,08:52:16.102000,RAW,21
279,08:52:16.102000,RAW,65
280,08:52:16.103000,RAW,-14
281,08:52:16.096000,RAW,32
282,08:52:16.095000,RAW,-4
283,08:52:16.104000,RAW,-12
284,08:52:16.094000,RAW,10
285,08:52:16.103000,RAW,-10
286,08:52:16.101000,RAW,43
287,08:52:16.102000,RAW,60
288,08:52:16.103000,RAW,6
289,08:52:16.103000,RAW,20
290,08:52:16.103000,RAW,22
291,08:52:16.119000,RAW,-10
292,08:52:16.119000,RAW,1
293,08:52:16.120000,RAW,11
294,08:52:16.120000,RAW,16
295,08:52:16.120000,RAW,49
296,08:52:16.121000,RAW,50
297,08:52:16.121000,RAW,24
298,08:52:16.121000,RAW,44
299,08:52:16.120000,RAW,6
300,08:52:16.120000,RAW,9
301,08:52:16.120000,RAW,28
302,08:52:16.120000,RAW,40
303,08:52:16.121000,RAW,10
304,08:52:16.138000,RAW,40
305,08:52:16.138000,RAW,53
306,08:52:16.139000,RAW,32
307,08:52:16.139000,RAW,0
308,08:52:16.139000,RAW,1
309,08:52:16.139000,RAW,34
310,08:52:16.139000,RAW,16
311,08:52:16.139000,RAW,53
312,08:52:16.138000,RAW,18
313,08:52:16.139000,RAW,45
314,08:52:16.138000,RAW,45
315,08:52:16.139000,RAW,13
316,08:52:16.174000,RAW,53
317,08:52:16.175000,RAW,44
318,08:52:16.175000,RAW,70
319,08:52:16.176000,RAW,66
320,08:52:16.176000,RAW,72
321,08:52:16.175000,RAW,60
322,08:52:16.176000,RAW,75
323,08:52:16.176000,RAW,75
324,08:52:16.175000,RAW,53
325,08:52:16.175000,RAW,48
326,08:52:16.175000,RAW,39
327,08:52:16.176000,RAW,72
328,08:52:16.175000,RAW,67
329,08:52:16.193000,RAW,48
330,08:52:16.193000,RAW,60
331,08:52:16.193000,RAW,50
332,08:52:16.201000,DELTA,4574
333,08:52:16.201000,LOALPHA,5229
334,08:52:16.201000,HIBETA,3500
335,08:52:16.201000,MIDGAMMA,1939
336,08:52:16.203000,ATTENTION,41
337,08:52:16.203000,MEDITATION,69
338,08:52:16.204000,APPRECIATION,1
339,08:52:16.206000,MENTAL_EFFORT,0
340,08:52:16.201000,LOGAMMA,2321
