,Delta,Theta,Alpha,Beta,Gamma,R
24,77400.632888049,22307.599715616772,7202.234289942331,7510.052785801649,2082.7800378409047,0.9590124723968287
25,98066.0622953182,4137.345352241216,9410.164883420086,11756.659621420833,6895.028691195355,0.8004114422326735
26,77690.83211301788,18982.281412344433,7915.358074986877,6525.964322254139,3710.2938262213434,1.2129024438571903
27,113921.73355240037,7825.804722517048,4939.875463995528,17960.627407055348,9582.394584799507,0.2750391371102677
28,124576.09199873886,11190.357126659339,6788.798135123153,11307.054932520981,10830.77749151332,0.6004037457709199
29,86678.83296723022,11937.131631016577,7379.483037547909,6425.6799569031455,4981.003056447736,1.1484361323691645
30,106263.2531708693,5780.6300424331885,2977.170647691203,15472.836588901935,6281.359300426615,0.19241272475058724
31,61463.22520712843,7459.463799518504,7532.371442041411,9105.97154132984,3791.713480178605,0.8271903121873122
32,155352.75840085724,124865.60733065673,12247.508654133277,15007.979781861402,4049.831209870801,0.8160664414630661
33,105972.2435627539,40222.96325157993,5555.292285845949,7127.619805971968,3337.7398618284574,0.7794035648746831
34,73809.8113832507,15580.64274242142,17823.004176322127,14981.56832290311,2567.6218962545013,1.18966210961206
35,194861.21274401818,164067.32027847692,31983.595599621924,12390.176989973708,13364.849117382426,2.581367128613535
36,83158.30913812068,10195.869933062335,8962.137625870313,9494.59126192788,2007.164528643344,0.943920320383602
37,102732.8669413632,11594.547172538743,14909.968133684271,16858.91633704021,6974.222349463396,0.8843965908369826
38,86737.34652316553,31670.989026868247,6888.8489496539405,11288.064845569144,3706.502152154893,0.6102772303224313
39,116441.62458651829,32720.418846625646,23225.122428141356,15343.11499488218,2732.1765267530272,1.5137162457485513
40,67821.44373921544,26069.113665295823,8515.54610389033,12521.335046491518,5931.183959207697,0.6800829202534908
41,86228.1545511223,32607.410334393837,2561.2788845770747,6017.525320613329,1787.7932783419676,0.42563657784758924
42,70271.40533929071,7992.783610636191,5990.743650049557,11574.722546507379,2982.5865319807644,0.5175712528726866
43,164434.99991401506,119182.69133792934,15916.3195778902,11800.310188828023,3836.443727824979,1.3488051858974877
44,117117.3792378217,39977.177417416075,6734.8890600237455,8001.171210330664,4605.07933286975,0.8417379009872997
45,920089.9344184089,23265.954532986998,16730.027193042846,27309.5303977003,11809.274319004257,0.6126076482974478
46,79656.61111233059,17744.451063777913,4205.017269968199,5960.157064980428,4133.081249550987,0.7055212176664354
47,82893.91147995321,2917.288429741108,8789.190653571988,11139.170845722692,3862.211657249799,0.7890345498154319
48,75001.5263859091,2283.8103818644504,6528.160221859858,3068.7809295875063,1730.985631059674,2.1272812793246043
49,110540.25116711312,12315.17829086259,14072.711658824282,15988.974395476835,5752.065536559514,0.880150990973214
50,148264.42344512243,31952.392935950542,13072.544823019152,8937.353905391941,2092.041488053428,1.4626862672555054
51,374724.27377120854,338579.60906005325,15891.73862119742,5521.605516778774,5650.815358184109,2.878101047404856
52,105046.24321748604,20126.853783571747,21817.097841089988,14511.946686617515,5546.115352803053,1.5033887811349986
53,104773.09634381389,21662.4694715027,5146.533984848127,6418.603666767138,3280.6654179388634,0.8018152003207085
54,72224.16682451808,67847.91273841233,9519.301283345423,7977.920156937552,2009.1356544985692,1.193205885254128
55,117990.2815079935,6326.989598122721,5478.443725807474,5253.964350950911,2997.6072043623053,1.0427257133588916
56,108978.45310714812,20758.348441685117,7999.071338689199,15557.397139797946,6148.301850735181,0.5141651438740021
57,76289.78197398233,10469.46782466722,7692.076825595648,8179.805706696476,5156.532181510807,0.9403740261579143
58,73703.49631372135,15380.300864743469,8581.746341283193,10561.233749432271,2206.2588431078293,0.8125704387278155
59,96313.7749988401,7538.249426515666,6260.989106965267,9215.721586206782,4184.649215787153,0.6793813211909658
60,87313.35226387363,6670.974320156813,1772.2347300360095,7513.753745639845,2435.3901974197775,0.23586542626106416
61,74507.18535095945,6672.202990632699,7212.2222839761125,8011.986995403799,4826.342658211199,0.9001789803345308
62,80044.28201698505,2858.814958795096,1764.6505803488485,5491.68179456901,2908.648086740629,0.3213315422051578
63,109870.63570619034,4727.755677597632,7246.1301211964765,7002.68941764828,3666.2579325210118,1.034763886991
64,65942.0702381061,20894.319942676826,4327.180394916476,5864.27763785387,1799.3767523520544,0.7378880506926475
65,104668.32743636635,21363.58653174696,18303.8952378806,15042.00521015416,2832.586902837671,1.216852074052234
66,109200.57470827375,19746.16746905375,10020.85439248365,6280.609236624923,4427.125013986245,1.5955226658661958
67,76278.431707083,20475.375022927714,8395.515440337611,4635.827837024521,3778.7519763092596,1.8110067361186182
68,82664.80794539272,5233.427594219257,3047.851362308619,7334.97254961288,3537.245038626248,0.4155232131672362
69,112600.36736352641,15329.994559736117,5505.39843064878,10000.498035762617,2832.4315047567416,0.5505124255773077
70,74487.45075998422,6844.524973060015,3607.163864664749,7693.422011223222,1359.3091869499638,0.4688633821727953
71,133757.1308606354,19706.679156980863,5589.661361673863,10705.925992953175,4614.151597923534,0.5221090978354488
72,74980.71114625396,6608.6078273437615,8203.6225641443,9686.848553805705,5181.570074952413,0.8468825045191106
73,94331.18808384643,21192.986322234603,13082.114781481867,10782.518703204505,4613.876806290378,1.2132707711041517
74,81751.10142291889,5525.692197760338,11586.625419309836,6929.577526599315,2363.024568066974,1.672053653319319
75,89273.897786918,3308.4459318301842,5150.981625085259,3616.6096704183046,3440.1343145673272,1.4242569960527385
76,55120.3591655794,1964.1233935707066,4411.848334294183,12912.068846676646,3588.0324659445537,0.34168407763948067
77,104834.25986696193,5302.675234074419,3602.2582277745605,19343.521968705507,2772.5704147244896,0.18622556086747777
78,76846.5656973504,6692.747365885723,3500.2385536807183,12762.099726537868,2494.8683445752854,0.27426823396484074
79,105994.6220034054,15265.776413175843,12640.901956996673,9710.13409854871,3655.70116390531,1.3018256832195552
80,96507.8141319194,17165.9348679622,2469.0115369684295,10675.959031566632,6671.918015412448,0.2312683600291146
81,161315.49777120393,3717.425646152523,2596.503601126695,7139.179648092573,3135.5638247489223,0.36369775367964324
82,139514.689072448,80186.78512704215,16517.364922599972,6930.8525128638685,3789.1132886318064,2.383164970246193
83,99463.23418424328,35623.82906502836,12848.067239746983,16006.842229574462,3748.360326034298,0.8026609530772232
84,99566.63841443826,22950.99751318107,5231.838063099903,11751.986454828735,3794.255024971016,0.44518755048004754
85,80635.46324299925,15123.87814328671,7778.194330323733,10068.919282502015,4257.93420979513,0.7724954498186163
86,97144.83688861404,10932.215655550353,6784.2701265562955,9970.831369241641,2855.3371683433816,0.6804116803624463
87,131498.08947305914,18423.141346627373,5259.146004633256,7816.0692489022895,5538.258746979211,0.6728632816772785
88,80983.32983193321,13233.74666321539,3018.1561031775827,6731.992273200101,6445.979010214471,0.4483302981782658
89,77863.16899200437,8748.105120599486,7640.064736150254,5975.488007203037,2919.6024738978135,1.2785674955653303
90,82679.12567064955,4707.185380564637,5405.190275250002,4862.32984401054,5620.188678447962,1.1116461549617334
91,134458.836258796,9844.487034564392,900.5899499125085,9419.399315093413,4400.005041661454,0.09561012542163122
92,109824.48352066497,3431.4019545987703,7061.392848398821,2204.0608922453616,2944.7098136230343,3.2038102364790424
93,112238.99955778212,13243.505277112963,5569.982455003591,6700.6948473027705,5430.605959508945,0.8312544567293159
94,99878.26934252781,7044.231244871957,4716.784854980159,6841.691407443413,3815.219185820234,0.6894179485863009
