,time,value
251,08:52:16.027000,38
252,08:52:16.027000,23
253,08:52:16.029000,34
254,08:52:16.064000,38
255,08:52:16.064000,54
256,08:52:16.066000,41
257,08:52:16.067000,32
258,08:52:16.067000,12
259,08:52:16.067000,34
260,08:52:16.067000,41
261,08:52:16.068000,4
262,08:52:16.067000,45
263,08:52:16.066000,60
264,08:52:16.066000,56
265,08:52:16.067000,28
266,08:52:16.068000,2
267,08:52:16.094000,27
268,08:52:16.094000,43
269,08:52:16.094000,40
270,08:52:16.095000,12
271,08:52:16.095000,13
272,08:52:16.094000,33
273,08:52:16.095000,3
274,08:52:16.095000,-8
275,08:52:16.095000,22
276,08:52:16.102000,51
277,08:52:16.102000,25
278,08:52:16.102000,21
279,08:52:16.102000,65
280,08:52:16.103000,-14
281,08:52:16.096000,32
282,08:52:16.095000,-4
283,08:52:16.104000,-12
284,08:52:16.094000,10
285,08:52:16.103000,-10
286,08:52:16.101000,43
287,08:52:16.102000,60
288,08:52:16.103000,6
289,08:52:16.103000,20
290,08:52:16.103000,22
291,08:52:16.119000,-10
292,08:52:16.119000,1
293,08:52:16.120000,11
294,08:52:16.120000,16
295,08:52:16.120000,49
296,08:52:16.121000,50
297,08:52:16.121000,24
298,08:52:16.121000,44
299,08:52:16.120000,6
300,08:52:16.120000,9
301,08:52:16.120000,28
302,08:52:16.120000,40
303,08:52:16.121000,10
304,08:52:16.138000,40
305,08:52:16.138000,53
306,08:52:16.139000,32
307,08:52:16.139000,0
308,08:52:16.139000,1
309,08:52:16.139000,34
310,08:52:16.139000,16
311,08:52:16.139000,53
312,08:52:16.138000,18
313,08:52:16.139000,45
314,08:52:16.138000,45
315,08:52:16.139000,13
316,08:52:16.174000,53
317,08:52:16.175000,44
318,08:52:16.175000,70
319,08:52:16.176000,66
320,08:52:16.176000,72
321,08:52:16.175000,60
322,08:52:16.176000,75
323,08:52:16.176000,75
324,08:52:16.175000,53
325,08:52:16.175000,48
326,08:52:16.175000,39
327,08:52:16.176000,72
328,08:52:16.175000,67
329,08:52:16.193000,48
330,08:52:16.193000,60
331,08:52:16.193000,50
345,08:52:16.207000,66
349,08:52:16.408000,44
350,08:52:16.408000,39
351,08:52:16.408000,42
352,08:52:16.408000,44
353,08:52:16.409000,43
354,08:52:16.409000,39
355,08:52:16.408000,38
356,08:52:16.407000,57
357,08:52:16.413000,37
358,08:52:16.414000,39
359,08:52:16.418000,43
360,08:52:16.418000,48
361,08:52:16.419000,50
362,08:52:16.420000,50
363,08:52:16.421000,52
364,08:52:16.421000,58
365,08:52:16.418000,27
366,08:52:16.422000,56
367,08:52:16.423000,43
368,08:52:16.423000,34
369,08:52:16.423000,38
370,08:52:16.423000,50
371,08:52:16.423000,55
372,08:52:16.414000,42
373,08:52:16.417000,29
374,08:52:16.426000,-1
375,08:52:16.427000,-3
376,08:52:16.427000,-2
377,08:52:16.409000,34
378,08:52:16.429000,7
379,08:52:16.430000,7
380,08:52:16.430000,13
381,08:52:16.432000,33
382,08:52:16.429000,2
383,08:52:16.429000,-4
384,08:52:16.418000,36
385,08:52:16.435000,34
386,08:52:16.436000,16
387,08:52:16.434000,41
388,08:52:16.435000,18
389,08:52:16.438000,25
390,08:52:16.447000,37
391,08:52:16.438000,24
392,08:52:16.426000,13
393,08:52:16.437000,24
394,08:52:16.426000,38
395,08:52:16.441000,37
396,08:52:16.441000,26
397,08:52:16.441000,10
398,08:52:16.441000,35
399,08:52:16.440000,13
400,08:52:16.443000,52
401,08:52:16.441000,19
402,08:52:16.443000,21
403,08:52:16.443000,39
404,08:52:16.440000,23
405,08:52:16.447000,38
406,08:52:16.440000,19
407,08:52:16.443000,43
408,08:52:16.438000,29
409,08:52:16.430000,5
410,08:52:16.432000,20
411,08:52:16.445000,16
412,08:52:16.445000,28
413,08:52:16.447000,40
414,08:52:16.454000,52
415,08:52:16.455000,43
416,08:52:16.451000,49
417,08:52:16.462000,-5
418,08:52:16.462000,6
419,08:52:16.453000,42
420,08:52:16.462000,-1
421,08:52:16.452000,27
422,08:52:16.459000,53
423,08:52:16.453000,57
424,08:52:16.450000,52
425,08:52:16.453000,58
426,08:52:16.453000,65
427,08:52:16.459000,59
428,08:52:16.460000,41
429,08:52:16.457000,52
430,08:52:16.454000,44
431,08:52:16.451000,35
432,08:52:16.461000,51
433,08:52:16.461000,52
434,08:52:16.461000,40
435,08:52:16.461000,33
436,08:52:16.447000,28
437,08:52:16.458000,58
438,08:52:16.452000,23
439,08:52:16.461000,32
440,08:52:16.461000,38
441,08:52:16.458000,52
442,08:52:16.456000,52
443,08:52:16.460000,49
444,08:52:16.461000,29
445,08:52:16.477000,29
446,08:52:16.477000,10
447,08:52:16.476000,4
448,08:52:16.534000,52
449,08:52:16.534000,56
450,08:52:16.535000,50
451,08:52:16.535000,48
452,08:52:16.535000,50
453,08:52:16.539000,34
454,08:52:16.539000,42
455,08:52:16.541000,65
456,08:52:16.541000,71
457,08:52:16.541000,59
458,08:52:16.538000,37
459,08:52:16.545000,53
460,08:52:16.545000,53
461,08:52:16.547000,44
462,08:52:16.549000,41
463,08:52:16.549000,49
464,08:52:16.550000,55
465,08:52:16.552000,37
466,08:52:16.552000,26
467,08:52:16.552000,40
468,08:52:16.553000,58
469,08:52:16.553000,76
470,08:52:16.552000,27
471,08:52:16.555000,80
472,08:52:16.556000,44
473,08:52:16.555000,66
474,08:52:16.551000,52
475,08:52:16.558000,27
476,08:52:16.559000,23
477,08:52:16.559000,25
478,08:52:16.559000,25
479,08:52:16.559000,25
480,08:52:16.558000,28
481,08:52:16.558000,33
482,08:52:16.561000,37
483,08:52:16.564000,5
484,08:52:16.563000,6
485,08:52:16.562000,36
486,08:52:16.566000,8
487,08:52:16.565000,11
488,08:52:16.569000,-19
489,08:52:16.569000,18
490,08:52:16.569000,59
491,08:52:16.569000,58
492,08:52:16.568000,-12
493,08:52:16.569000,3
494,08:52:16.571000,36
495,08:52:16.568000,-3
496,08:52:16.563000,28
497,08:52:16.571000,21
498,08:52:16.563000,25
499,08:52:16.571000,43
500,08:52:16.569000,24
501,08:52:16.573000,56
502,08:52:16.573000,54
503,08:52:16.563000,34
504,08:52:16.568000,-2
505,08:52:16.575000,49
506,08:52:16.563000,28
507,08:52:16.563000,12
508,08:52:16.577000,49
509,08:52:16.577000,56
511,08:52:16.578000,34
513,08:52:16.581000,21
514,08:52:16.581000,64
515,08:52:16.581000,35
517,08:52:16.583000,55
518,08:52:16.583000,53
519,08:52:16.584000,43
520,08:52:16.582000,43
521,08:52:16.584000,37
522,08:52:16.586000,35
523,08:52:16.586000,29
524,08:52:16.581000,45
525,08:52:16.587000,6
526,08:52:16.587000,19
527,08:52:16.589000,33
528,08:52:16.589000,28
529,08:52:16.590000,20
530,08:52:16.590000,12
531,08:52:16.590000,26
532,08:52:16.589000,19
533,08:52:16.587000,6
534,08:52:16.592000,11
535,08:52:16.586000,34
536,08:52:16.581000,67
537,08:52:16.592000,16
538,08:52:16.592000,19
539,08:52:16.592000,19
540,08:52:16.587000,36
541,08:52:16.578000,19
542,08:52:16.587000,22
543,08:52:16.596000,17
