,Delta,Theta,Alpha,Beta,Gamma,R
46,193512.98450888382,174202.10438717253,16777.687615860945,18937.65129557123,18141.70489600159,0.8859434231838762
47,25088.063534070832,9786.535594637679,20524.52861255432,33959.98097786122,13841.310194179996,0.6043739725865696
48,20330.538317986826,14730.250395390147,24145.390496615517,17139.94805682492,10544.833189425528,1.40872016744538
49,66838.31984016193,21294.661006941686,37615.97810291221,31349.41756359339,13744.380342898387,1.199894002068998
50,41315.52104790638,44866.34039213032,31226.555547787142,21708.25568107352,9914.27310909496,1.4384645181331734
51,341269.0390030461,355219.29829917283,46146.58991245609,16253.304221473261,11480.768225128806,2.839212832273756
52,19204.94382707767,42467.76778929446,40083.52648564376,43798.87881499224,17520.64359710471,0.9151724329510296
53,21932.815232984685,124508.66175272783,14779.867032071608,20477.446446870752,12194.446443327924,0.7217631881210552
54,36523.36434876008,164662.74861062667,35437.65417090488,26443.812320911486,7452.862789744803,1.3401113932003352
55,29425.49426012729,61399.047940533266,33298.862683629486,30477.769712310062,12374.385777703032,1.0925623166638725
56,71286.5038411686,74467.87274749685,25954.05581544523,37383.730983364,18114.15937607456,0.6942607153629194
57,74750.77836478474,65298.29597681787,31660.913369664726,30529.91083424282,12750.970668990329,1.0370457202303178
58,6000.450521249386,33850.74301025957,11418.244078726915,31993.097159185763,9198.666241884084,0.35689711508435634
59,8875.774864587136,26058.259703605203,30133.49732174544,17960.332338277924,9544.24688220582,1.677780608631806
60,13643.053390093919,25064.416135438267,5604.853677533241,23296.985913404023,9042.477156401963,0.24058278175411799
61,21550.37847482982,29813.088301769185,21276.29055298731,21414.59002841736,11047.474184374922,0.9935418107352733
62,19824.9961850115,7663.037056567631,23071.420368943574,20153.298429262737,9727.093715535351,1.1447962451369103
63,23879.401320317655,20149.5688323566,27835.01872569047,18976.621788775188,13300.355097285234,1.466805790594145
64,24320.03822252196,42041.64085299986,10664.097734700204,18626.721788395538,6175.252941352806,0.5725160796326462
65,40863.23061188293,36992.80762021049,29193.695658712033,25019.711508354063,9018.845610514614,1.1668278288886056
66,67818.27061309331,50922.57337885157,20380.92352341474,17663.99601096147,9481.411960589272,1.153811601336825
67,19614.191292776322,48470.0267045415,32679.5607366069,14048.887696944099,9684.024720577338,2.3261315373540445
68,11870.847308195742,29606.42257796022,17936.066315396092,23815.003177988874,12342.621760467931,0.7531414621843756
69,18595.550790533358,80697.09831178245,17182.994032302227,25515.162242867522,9091.176951678503,0.6734424758402444
70,5850.749982591453,29865.5093870604,12733.5948333781,27560.027565304572,5162.363654255003,0.46203128074546895
71,68329.12652412699,51577.99394500377,54300.2629717808,41123.26113871791,17019.388236118393,1.3204269668354833
72,31058.96904528064,14455.246187887034,24652.80797775719,24464.04906006233,12057.19748113649,1.0077157676242159
73,41995.39307682674,40137.24512133782,33920.31132012406,26559.643133244397,24435.020347178142,1.2771373150592675
74,61336.31041125636,27236.493572147134,43363.32233390497,31152.238977707682,10179.728578082959,1.39198092197917
75,8781.465547828126,27026.607545438197,24857.45983258366,9908.810683542702,9207.069360394504,2.5086219352105292
76,30645.51432006748,33004.63199331322,14828.42685321784,28946.158147659058,11510.987857650045,0.5122761638202771
77,31446.398911105596,17510.101667192383,15734.061871948314,45760.91928129457,13186.204540118037,0.3438318573809735
78,31017.870919067256,36458.906386228206,22068.249655548276,27263.334926227202,11088.793757974712,0.8094479165980065
79,41170.409339302,56536.464446051745,42808.74197510249,23800.545080016116,11800.84955016574,1.7986454440930606
80,9689.15340057059,39742.382678542184,7112.773948939253,30197.604258897445,25641.856830745957,0.23554100146350318
81,55070.591456079856,7436.359686837647,12117.224395797339,22104.42788676317,7327.1916609511945,0.5481808648417232
82,64468.22343840584,102949.51730071602,22978.22888370981,18207.19361990746,10826.408457876449,1.2620412219149346
83,52755.39918188016,116699.30005898497,20961.374106036397,37978.03222666182,15716.676784757083,0.5519341808162676
84,71091.67896103422,87641.63838087018,23186.80712264714,29403.084703993332,12462.15791641316,0.7885841691806595
85,53614.358862419,42647.51911148559,20145.175576312926,24405.34192595043,12974.73760793397,0.8254412348508164
86,20746.757671906955,16671.294684343688,20894.247390166835,20382.08146252293,7952.307983492243,1.0251282445605783
87,50705.05016329858,37244.363167389405,21469.75271378354,21759.38695086105,11439.860512504118,0.9866892280682544
88,12221.205674451341,24263.130874559745,15778.240226572407,18063.85813385325,12398.814797494435,0.8734701141724871
89,8800.984637069061,15595.30584431951,16283.89101749555,21352.87929942283,7770.576057282213,0.7626086762891834
90,3644.203342713507,6003.775587589077,14418.341237663044,16284.991805325077,16019.48027256211,0.8853760204502129
91,61433.2948732898,39440.812040321005,7775.465380801363,22862.641186862267,9475.681278993863,0.34009479995117264
92,54843.01728173591,10158.122986285594,14749.107480177692,19151.58241042329,8239.428436346123,0.7701247429116072
93,19058.590846924835,43197.336381167086,25347.55492313241,18510.431501667288,14817.003379150392,1.3693659664740545
94,7070.32401029611,18072.26670365386,20398.50394029531,18861.81745651563,12636.946968768996,1.0814707536706039
95,20529.562744149305,43274.10529339427,6628.412808967934,32965.34874647301,17713.755666773177,0.20107212758297038
96,4205.611987269156,10346.392637848588,8983.670096490583,16728.04811435339,13578.778716824143,0.5370423396129644
97,37388.646319185355,34197.502251735896,27099.11412721706,36039.50204165657,15595.934543378566,0.7519280953408933
98,15392.111619550304,15922.203221733938,19524.796800050248,18171.375838311356,16131.070080746777,1.0744809294453876
99,81346.79925850334,134963.54394318795,80830.58255966517,48118.0856830164,27139.85084431797,1.6798378699465775
100,176118.77901436543,24349.87226317126,39572.40822078739,26427.86466050353,19472.76147389617,1.4973744087591152
101,58086.126493999895,7687.6266320156265,15807.534334361459,22438.916837056,6284.600260940973,0.7044695806464523
102,45208.77728116438,49572.87608273454,23626.94747564807,10790.771343872742,9641.299004454248,2.1895513047882362
103,11990.24242113358,19572.64936406978,22267.82366009004,15631.958373464015,12735.713752274602,1.4245063304346255
104,13548.122591057532,15949.65599985528,12342.011376162645,24990.060930922147,9690.864271373823,0.4938768020725757
105,25390.337208240126,27303.301926344888,24548.64160125425,22473.62909603562,15883.888425043811,1.0923309936437753
106,14058.76142040488,34825.11660629919,30674.443107399515,30034.447312465818,5977.873515387039,1.0213087255535436
107,10893.036619278002,9842.871216598318,14970.215518151126,26826.46590816143,17933.95213113106,0.5580390488035448
108,17621.13924115993,21572.700522449566,22852.167982158684,17175.32266762824,7033.885253597526,1.3305233575163085
109,26425.85910800926,87476.71728823695,5818.908236926188,22683.550648877423,6774.706237218895,0.25652545877839267
110,23810.151141966893,22783.34245044405,34331.662005727136,36287.33565084937,14910.220610894172,0.9461058903872306
111,36778.137039251116,61849.73771495197,30911.16088264705,25465.542205916954,15949.276626144987,1.2138426361667964
112,24894.002830709636,15658.294574965981,15789.549307209669,53818.74524796986,12161.156890711212,0.2933838244362503
113,237488.82642032532,68643.52726194673,47395.3480082172,78487.047553634,128731.224666939,0.6038620318318085
114,52139.91301672022,76127.72972388758,34628.64210662114,31851.858642454485,42628.82458651968,1.0871780669171236
115,30451.528205939605,82950.04523211831,40248.241224377474,26386.06957514639,7901.791963843374,1.525359474617931
116,24454.93914216826,31002.389918557597,29639.730550739077,19996.559120210903,9057.147375147028,1.482241538284536
117,27991.024353101813,33541.14086753156,34880.74296717466,18492.46158885755,12631.03478177893,1.8862141635157812
118,13560.44325179703,5302.801659218148,32987.50157260967,25903.51626128969,21578.52582531871,1.2734758184897976
119,21873.4203624114,41876.69276319153,10835.41059330132,14000.853400923828,12738.304907148486,0.7739107240838876
120,46707.459850503656,91598.72293584494,30790.934823756437,40872.84033471297,22743.81350879464,0.7533348446451358
121,22913.560117903544,18191.88698886818,38624.72294164008,43220.85108882525,11140.983565880644,0.8936594714958425
122,67111.4644830777,77269.89069393997,16587.50421408399,20893.405054702638,14889.947901330292,0.7939110054419068
123,14305.290944077236,26419.703780712036,6904.407404224429,26868.235876843773,9102.532372672817,0.2569728595458309
124,9392.996047104465,108666.35790372331,25857.566218306445,30514.858426389215,15590.71214826101,0.847376247236489
125,31939.48379214842,43037.071971739715,13100.2961565703,29571.86526548176,15164.445019318646,0.4429986420863967
126,28738.735421547877,10513.922905825104,14352.387375891201,21812.525311329788,10725.704518161649,0.6579883425252157
127,31973.888139123344,70762.95568566545,29144.137397567123,27252.62846680793,17274.34483807778,1.0694064769958955
128,18147.34670631083,70099.89578948719,28976.437568302106,27730.245593542906,9132.043622061057,1.0449398102355567
129,41991.59096058729,14578.702315543933,16124.585485192649,27247.703711537546,13130.09281247434,0.5917777753273566
130,118769.62587564588,49882.910337959736,54669.8346513506,38427.31635870304,14358.874216036098,1.422681566962168
131,11752.317949253718,36468.06996380361,20203.18429219263,30008.087612352312,10673.548707320213,0.67325797475599
132,6468.643813973869,29225.45176095308,33500.34854730128,28182.24220502054,14272.375751183748,1.1887041600023345
133,27733.20468567031,98520.9682962659,25712.931150539243,24708.152826165973,9990.686165980744,1.0406658616466549
134,98255.69691767138,54176.10667438782,44212.414529139314,33769.68496163229,28841.298541650147,1.3092338462550546
135,33787.40891979555,75916.49584139357,40683.5489687113,38689.61043799404,10408.610682744482,1.0515367952311863
136,69856.48757733565,141278.5741305363,36247.31031256065,31610.043608302352,19393.687413065592,1.146702319102158
137,68383.67767577167,22294.831384514793,13709.300584351262,37891.47409328173,8736.608541137224,0.36180436133472993
138,367324.72901989566,139122.2562947646,21904.834274745906,59379.30405756335,21562.03291244861,0.3688967835242894
139,37432.09486421979,28667.54950234664,14854.96142749743,28290.215363057778,9568.363730284966,0.525091846663546
140,15289.052128652387,21960.786920896888,34687.06273329117,57912.85440313421,17137.36436338636,0.5989527383995413
141,80155.80206046038,137690.05383688596,35574.2571811869,26614.627068404276,16917.19509324694,1.3366430831345033
142,16919.422626677486,23820.77920616731,11403.122664784056,16009.429536422565,5879.508208216743,0.7122753898782689
143,15261.098007400882,52974.081498326836,4256.937724394937,21155.634388340317,6672.910119542051,0.2012200459817503
144,18606.44042829493,28144.87911383354,22621.30485597849,18907.455874115443,12316.927922094326,1.1964224592980464
145,33314.362648165465,27657.30227464981,23237.396206946378,15546.244596086502,8832.003358596052,1.4947272997876278
146,24377.29331276332,23995.922077999374,33783.366829488856,18893.248371770518,10769.77124587872,1.7881184942218042
147,65429.859293272384,55834.280331330316,21185.629899627944,59057.987736356445,38293.632334138856,0.3587259016376195
148,28721.306646892328,51670.514247450046,14658.667951518757,15176.211618436391,18738.538650212373,0.9658977035949531
149,9922.875861518238,27688.752073931788,24529.579084434463,28836.796488366566,17948.6318038775,0.8506346776185859
150,27489.159767813013,106110.52954931182,24828.89640187534,68088.26115195986,27219.41285445869,0.36465751925228396
151,20157.629527009645,48372.712996461814,18133.36071689684,33783.472897564614,12779.220375890909,0.536752416540457
152,36594.921826654965,25425.785196494213,21524.851761141283,33200.48416912574,18851.43159562923,0.6483294536155583
153,28860.17718655972,21745.307999347013,16846.988982243256,23797.232992492467,11893.138623986499,0.7079389854928988
154,10115.320323990734,27819.52117932403,13166.184189040478,26285.651941534587,12752.256056771574,0.5008886299767318
155,21489.05587648974,10555.15002371361,16500.852365268744,36213.77059423034,11309.047977065817,0.4556513197744092
156,4810.736323091231,22057.328337168386,27427.526731088055,30533.175594468612,10187.383575821557,0.8982860838116302
157,6737.5906919957715,11657.241617429867,33699.85837148796,15377.952805168154,15426.870962056544,2.1914398358773908
158,5344.362250316549,7785.949211220461,23038.192186562876,25562.34962670473,13707.436619508608,0.9012548737888753
159,22855.128390518614,19058.227110697855,20915.04959151469,34948.83499988112,18357.926765412623,0.5984476905048719
160,28649.731971472727,7349.752973108196,20370.8901371975,29154.810126966764,11670.138441778616,0.6987145533956138
161,7554.06669657985,33100.92974245265,20556.189339980254,37848.801330809525,14244.380212938091,0.5431133514721691
162,33490.276905163686,24379.96417298646,7811.403906171409,34352.16982676483,22864.37198479809,0.22739186332518957
163,10556086.012339273,9071616.191815913,2604087.911063559,589776.1493155991,581897.6228292366,4.41538355541412
164,138793.61601578444,22956.352631017813,15640.196841844276,32987.22089120871,34616.48658308486,0.47412896325596443
165,31266.292336676648,36048.37840029568,13670.910660937985,47701.02566065555,32451.345192354573,0.286595738175373
166,186206.74869809655,101008.04585272376,30904.255210338495,62634.34747278091,53299.879389993315,0.49340747460917667
167,2001996.9523410965,360751.63461406756,152806.95910219484,101234.57773043097,129022.91819569848,1.5094344494535417
168,59952.01546325607,60383.36604439422,27546.411433009518,61668.691740474154,65428.32117515725,0.4466838951105941
169,125237.11715055638,57876.75470135767,39220.26874188237,51924.05024313043,29540.099084617483,0.7553391647653916
170,100721.05391144921,32787.67445089891,19372.929142363966,45407.37891181549,52180.908021942916,0.42664715750247634
171,50571.172059753706,26507.953304217615,27636.135367895557,44115.0296625952,21048.003225099874,0.6264562345138357
172,8810.205701012335,21499.05872086925,23567.33880071527,60877.39101973566,56256.172372643945,0.38712793708710425
173,25723.7051583867,106448.94601885116,45304.04455089345,37624.43635028239,44378.27038655856,1.2041122458052032
174,26617.53166732957,30397.49166979577,11178.696423899792,31693.139291587835,38194.5898285783,0.3527166028285151
175,26703.46348909901,37638.40490159224,30317.762082739875,39691.32235873979,39259.78224611664,0.763838549109566
176,27039.72037661655,27972.93414865864,75867.55883477902,47778.98233736689,40061.643133811594,1.5878856167148765
177,30824.74019964708,50728.42147902666,52496.493032144535,40773.41108986185,66551.82997077442,1.2875178119496993
178,24065.844752855075,45018.11691013185,42197.33613078964,51149.05000273561,25421.520835370655,0.8249876806809275
179,42857.62531048253,94180.50499857572,18528.626581564215,51882.05814577848,37363.85918679504,0.3571297524377769
180,13919.873822423062,11312.136408303206,30626.386789519973,38248.89710689769,74676.89093820198,0.8007129383084068
181,8601.28298886768,30099.542013802937,8591.927917689172,46263.38143344268,32467.263424261288,0.1857176810573184
182,9770.78966652264,24135.029197397325,35868.25573334356,34590.16928806777,57535.599782508536,1.036949412841315
183,10178.401967356504,11324.441630173667,27485.480341536106,46322.809838319234,45567.573824401734,0.5933465702419355
184,566836.2186980611,310621.94386575976,32307.296518230847,80955.30731193996,79817.14004259373,0.3990757072138975
185,128158.38099824172,230902.20166007653,61018.27072318512,81498.68385139134,69662.39918810187,0.7487025291653642
186,116513.94556667942,157485.4656755495,91258.83911130077,82915.90214328782,65055.660385595875,1.1006192630407063
187,393916.9229004913,280842.28388807806,70589.5554143217,84562.76695019077,43821.404753206654,0.8347592913545558
188,220118.28093968178,64008.52577237859,43215.498365952,92351.81279376567,39637.28256701026,0.4679442347543103
189,70638.6491558844,31890.88681726295,42939.191512735466,47813.04747430765,72041.63986242033,0.8980643104961852
190,107595.77451153213,41490.368618512744,26695.405424778382,30669.727864127275,26802.688209510317,0.8704154644946347
191,50423.99444507548,70523.82546184812,37212.43637267314,25400.254712821068,11229.58467533339,1.4650418585719827
192,60504.181568963424,67369.2666086162,25772.770818578763,37500.82914084991,23471.917255725464,0.6872586929152535
193,92698.7336549513,162055.82938516815,20976.447409371758,51062.08220389958,31200.34422443229,0.41080282088006587
194,57707.37794276357,52843.148541870614,26700.856979924014,25868.193089802502,19396.47017784651,1.0321887148140145
195,31586.99206599132,41206.31100657848,17553.902381428343,28320.11036625658,16141.735323355839,0.6198387702028104
196,51091.340129084514,56461.98863656244,27362.462543547983,31561.053405281815,14904.37246915582,0.8669692418748233
197,55316.9022184238,61692.38939390196,21213.059874302577,26772.445087513508,13357.093633254324,0.7923467507342543
198,26309.83935933878,46976.11769303724,20009.052070621256,23746.925805981147,15577.805098785357,0.8425954683187483
199,47487.71800660575,28241.88172564136,44215.22470755691,24205.704521596825,25869.04659072749,1.8266448170557144
200,206569.26088792935,152509.75073309898,62208.67356174218,29772.901142313833,30197.370583938013,2.089439428975566
201,136007.27291739298,182537.52360632148,39084.99568143018,54332.876774282806,15759.452251322778,0.7193617934828391
202,24527.964361474602,24290.875507952664,38511.30423976137,24697.438298352237,25626.08136209411,1.5593238365264288
203,109234.35735480506,55481.01211651313,51371.67455311258,68345.80773912556,19995.185790818632,0.7516433890019578
204,25726360.29573095,20313325.75624789,1070855.8089091692,2041273.996956672,3168973.038053723,0.5246016999705596
205,238223569.49623048,190640565.28733575,36449699.069335245,26059738.754270963,42035818.89010907,1.398697792523398
206,152307649.81940597,71067133.4806394,59415766.94785178,58835921.27438164,29377932.904670432,1.009855300315024
207,742.3162272575273,844.462380075789,1056.6006585468579,2563.036086583747,1355.0820593998014,0.4122457206426592
